NO,TYPE,DRAWING,DISPFLG,#500,#501,#600,#601,#1,#602,,,,,,
1,GPA18GT15040-A,,1,8.13,,,,,,,,,,,
2,GPA20GT15040-A,,1,9.09,,,,,,,,,,,
3,GPA24GT15040-A,,1,11,,,,,,,,,,,
4,GPA30GT15040-A,,1,13.86,,,,,,,,,,,
5,GPA36GT15040-A,,1,16.73,,,,,,,,,,,
6,GPA30GT15040-B,,1,13.86,,,,,,,,,,,
7,GPA36GT15040-B,,1,16.73,,,,,,,,,,,
8,GPA14GT2040-A,,1,8.4,,,,,,,,,,,
9,GPA15GT2040-A,,1,9.04,,,,,,,,,,,
10,GPA16GT2040-A,,1,9.68,,,,,,,,,,,
11,GPA18GT2040-A,,1,10.95,,,,,,,,,,,
12,GPA20GT2040-A,,1,12.22,,,,,,,,,,,
13,GPA21GT2040-A,,1,12.86,,,,,,,,,,,
14,GPA14GT2060-A,,1,8.4,,,,,,,,,,,
15,GPA15GT2060-A,,1,9.04,,,,,,,,,,,
16,GPA16GT2060-A,,1,9.68,,,,,,,,,,,
17,GPA18GT2060-A,,1,10.95,,,,,,,,,,,
18,GPA20GT2060-A,,1,12.22,,,,,,,,,,,
19,GPA21GT2060-A,,1,12.86,,,,,,,,,,,
20,GPA14GT2090-A,,1,8.4,,,,,,,,,,,
21,GPA15GT2090-A,,1,9.04,,,,,,,,,,,
22,GPA16GT2090-A,,1,9.68,,,,,,,,,,,
23,GPA18GT2090-A,,1,10.95,,,,,,,,,,,
24,GPA20GT2090-A,,1,12.22,,,,,,,,,,,
25,GPA21GT2090-A,,1,12.86,,,,,,,,,,,
26,GPA22GT2040-A,,1,13.5,,,,,,,,,,,
27,GPA24GT2040-A,,1,14.77,,,,,,,,,,,
28,GPA25GT2040-A,,1,15.41,,,,,,,,,,,
29,GPA26GT2040-A,,1,16.04,,,,,,,,,,,
30,GPA28GT2040-A,,1,17.32,,,,,,,,,,,
31,GPA30GT2040-A,,1,18.59,,,,,,,,,,,
32,GPA32GT2040-A,,1,19.86,,,,,,,,,,,
33,GPA34GT2040-A,,1,21.14,,,,,,,,,,,
34,GPA36GT2040-A,,1,22.41,,,,,,,,,,,
