DEFINE,VALUE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
relationS2M,0.776,and,#1,>=,12,and,#1,<=,16,,,,,,,,,,,,,,,,,,,,
relationS2M,0.778,and,#1,>=,17,and,#1,<=,24,,,,,,,,,,,,,,,,,,,,
relationS2M,0.78,and,#1,>=,25,and,#1,<=,40,,,,,,,,,,,,,,,,,,,,
relationS2M,0.781,and,#1,>=,41,and,#1,<=,80,,,,,,,,,,,,,,,,,,,,
relationS3M,1.136,and,#1,>=,12,and,#1,<=,16,,,,,,,,,,,,,,,,,,,,
relationS3M,1.14,and,#1,>=,17,and,#1,<=,24,,,,,,,,,,,,,,,,,,,,
relationS3M,1.143,and,#1,>=,25,and,#1,<=,40,,,,,,,,,,,,,,,,,,,,
relationS3M,1.144,and,#1,>=,41,and,#1,<=,80,,,,,,,,,,,,,,,,,,,,
relationS5M,1.826,and,#1,>=,12,and,#1,<=,16,,,,,,,,,,,,,,,,,,,,
relationS5M,1.834,and,#1,>=,17,and,#1,<=,24,,,,,,,,,,,,,,,,,,,,
relationS5M,1.84,and,#1,>=,25,and,#1,<=,40,,,,,,,,,,,,,,,,,,,,
relationS5M,1.845,and,#1,>=,41,and,#1,<=,80,,,,,,,,,,,,,,,,,,,,
