NO,TYPE,DRAWING,DISPFLG,#500,#501,#600,#601,#1,#602
37200,GPA12MR2060-K,test1-2.jpg,1,7.13,12,38,0.749,,
37201,GPA13MR2060-K,test1-2.jpg,1,7.77,13,39,0.749,,
37202,GPA14MR2060-K,test1-2.jpg,1,8.4,14,39,0.749,,
37203,GPA15MR2060-K,test1-2.jpg,1,9.04,15,39,0.749,,
37204,GPA16MR2060-K,test1-2.jpg,1,9.65,16,39,0.749,,
37205,GPA17MR2060-K,test1-2.jpg,1,10.31,17,39,0.749,,
37206,GPA18MR2060-K,test1-2.jpg,1,10.95,18,39,0.749,,
37207,GPA19MR2060-K,test1-2.jpg,1,11.59,19,40,0.749,,
37208,GPA20MR2060-K,test1-2.jpg,1,12.22,20,40,0.749,,
37209,GPA21MR2060-K,test1-2.jpg,1,12.88,21,40,0.749,,
37210,GPA22MR2060-K,test1-2.jpg,1,13.5,22,40,0.749,,
37211,GPA24MR2060-K,test1-2.jpg,1,14.77,24,40,0.749,,
37212,GPA25MR2060-K,test1-2.jpg,1,15.41,25,40,0.749,,
37213,GPA26MR2060-K,test1-2.jpg,1,16.04,26,40,0.749,,
37214,GPA28MR2060-K,test1-2.jpg,1,17.32,28,40,0.749,,
37215,GPA30MR2060-K,test1-2.jpg,1,18.59,30,40,0.749,,
37216,GPA32MR2060-B,test1-1.jpg,1,19.95,32,40,0.749,,
37217,GPA34MR2060-B,test1-1.jpg,1,21.14,34,40,0.749,,
37218,GPA36MR2060-B,test1-1.jpg,1,22.41,36,41,0.759,,
37219,GPA40MR2060-B,test1-1.jpg,1,24.95,40,41,0.759,,
37220,GPA42MR2060-B,test1-1.jpg,1,25.23,42,41,0.759,,
37221,GPA44MR2060-B,test1-1.jpg,1,27.5,44,41,0.759,,
37222,GPA45MR2060-B,test1-1.jpg,1,28.14,45,41,0.759,,
37223,GPA48MR2060-B,test1-1.jpg,1,30.05,48,41,0.759,,
37224,GPA50MR2060-B,test1-1.jpg,1,31.32,50,41,0.759,,
37225,GPA56MR2060-B,test1-1.jpg,1,35.14,56,41,0.759,,
37226,GPA60MR2060-B,test1-1.jpg,1,37.59,60,41,0.759,,
37227,GPA62MR2060-B,test1-1.jpg,1,38.95,62,42,0.759,,
37228,GPA68MR2060-B,test1-1.jpg,1,42.78,68,42,0.759,,
37229,GPA72MR2060-B,test1-1.jpg,1,45.33,72,42,0.749,,
37230,GPA12MR2060-A,test1-0.jpg,1,7.13,12,38,0.749,,
37231,GPA13MR2060-A,test1-0.jpg,1,7.77,13,39,0.749,,
37232,GPA14MR2060-A,test1-0.jpg,1,8.4,14,39,0.749,,
37233,GPA15MR2060-A,test1-0.jpg,1,9.04,15,39,0.749,,
37234,GPA16MR2060-A,test1-0.jpg,1,9.65,16,39,0.749,,
37235,GPA17MR2060-A,test1-0.jpg,1,10.31,17,39,0.749,,
37236,GPA18MR2060-A,test1-0.jpg,1,10.95,18,39,0.749,,
37237,GPA19MR2060-A,test1-0.jpg,1,11.59,19,40,0.749,,
37238,GPA20MR2060-A,test1-0.jpg,1,12.22,20,40,0.749,,
37239,GPA21MR2060-A,test1-0.jpg,1,12.88,21,40,0.749,,
37240,GPA22MR2060-A,test1-0.jpg,1,13.5,22,40,0.749,,
37241,GPA24MR2060-A,test1-0.jpg,1,14.77,24,40,0.749,,
37242,GPA25MR2060-A,test1-0.jpg,1,15.41,25,40,0.749,,
37243,GPA26MR2060-A,test1-0.jpg,1,16.04,26,40,0.749,,
37244,GPA28MR2060-A,test1-0.jpg,1,17.32,28,40,0.749,,
37245,GPA30MR2060-A,test1-0.jpg,1,18.59,30,40,0.749,,
37246,GPA32MR2060-A,test1-0.jpg,1,19.95,32,40,0.749,,
37247,GPA34MR2060-A,test1-0.jpg,1,21.14,34,40,0.749,,
37248,GPA36MR2060-A,test1-0.jpg,1,22.41,36,41,0.759,,
37249,GPA40MR2060-A,test1-0.jpg,1,24.95,40,41,0.759,,
37250,GPA42MR2060-A,test1-0.jpg,1,25.23,42,41,0.759,,
37251,GPA44MR2060-A,test1-0.jpg,1,27.5,44,41,0.759,,
37252,GPA45MR2060-A,test1-0.jpg,1,28.14,45,41,0.759,,
37253,GPA48MR2060-A,test1-0.jpg,1,30.05,48,41,0.759,,
37254,GPA50MR2060-A,test1-0.jpg,1,31.32,50,41,0.759,,
37255,GPA56MR2060-A,test1-0.jpg,1,35.14,56,41,0.759,,
37256,GPA60MR2060-A,test1-0.jpg,1,37.59,60,41,0.759,,
37257,GPA62MR2060-A,test1-0.jpg,1,38.95,62,42,0.759,,
37258,GPA68MR2060-A,test1-0.jpg,1,42.78,68,42,0.759,,
37259,GPA72MR2060-A,test1-0.jpg,1,45.33,72,42,0.749,,
37260,GPA12MR2090-K,test1-2.jpg,1,7.13,12,38,0.749,,
37261,GPA13MR2090-K,test1-2.jpg,1,7.77,13,39,0.749,,
37262,GPA14MR2090-K,test1-2.jpg,1,8.4,14,39,0.749,,
37263,GPA15MR2090-K,test1-2.jpg,1,9.04,15,39,0.749,,
37264,GPA16MR2090-K,test1-2.jpg,1,9.65,16,39,0.749,,
37265,GPA17MR2090-K,test1-2.jpg,1,10.31,17,39,0.749,,
37266,GPA18MR2090-K,test1-2.jpg,1,10.95,18,39,0.749,,
37267,GPA19MR2090-K,test1-2.jpg,1,11.59,19,40,0.749,,
37268,GPA20MR2090-K,test1-2.jpg,1,12.22,20,40,0.749,,
37269,GPA21MR2090-K,test1-2.jpg,1,12.88,21,40,0.749,,
37270,GPA22MR2090-K,test1-2.jpg,1,13.5,22,40,0.749,,
37271,GPA24MR2090-K,test1-2.jpg,1,14.77,24,40,0.749,,
37272,GPA25MR2090-K,test1-2.jpg,1,15.41,25,40,0.749,,
37273,GPA26MR2090-K,test1-2.jpg,1,16.04,26,40,0.749,,
37274,GPA28MR2090-K,test1-2.jpg,1,17.32,28,40,0.749,,
37275,GPA30MR2090-K,test1-2.jpg,1,18.59,30,40,0.749,,
