NO,TYPE,DEFINE1,DEFINE2
1,GPA18GT15040-A,,
2,GPA20GT15040-A,,
3,GPA24GT15040-A,,
4,GPA30GT15040-A,,
5,GPA36GT15040-A,,
6,GPA30GT15040-B,,
7,GPA36GT15040-B,,
8,GPA14GT2040-A,,
9,GPA15GT2040-A,,
10,GPA16GT2040-A,,
11,GPA18GT2040-A,,
12,GPA20GT2040-A,,
13,GPA21GT2040-A,,
14,GPA14GT2060-A,,
15,GPA15GT2060-A,,
16,GPA16GT2060-A,,
17,GPA18GT2060-A,,
18,GPA20GT2060-A,,
19,GPA21GT2060-A,,
20,GPA14GT2090-A,,
21,GPA15GT2090-A,,
22,GPA16GT2090-A,,
23,GPA18GT2090-A,,
24,GPA20GT2090-A,,
25,GPA21GT2090-A,,
26,GPA22GT2040-A,,
27,GPA24GT2040-A,,
28,GPA25GT2040-A,,
29,GPA26GT2040-A,,
30,GPA28GT2040-A,,
31,GPA30GT2040-A,,
32,GPA32GT2040-A,,
33,GPA34GT2040-A,,
34,GPA36GT2040-A,,
35,GPA38GT2040-A,,
36,GPA40GT2040-A,,
37,GPA44GT2040-A,,
38,GPA48GT2040-A,,
39,GPA50GT2040-A,,
40,GPA60GT2040-A,,
41,GPA22GT2060-A,,
42,GPA24GT2060-A,,
43,GPA25GT2060-A,,
44,GPA26GT2060-A,,
45,GPA28GT2060-A,,
46,GPA30GT2060-A,,
47,GPA32GT2060-A,,
48,GPA34GT2060-A,,
49,GPA36GT2060-A,,
50,GPA38GT2060-A,,
51,GPA40GT2060-A,,
52,GPA44GT2060-A,,
53,GPA48GT2060-A,,
54,GPA50GT2060-A,,
55,GPA60GT2060-A,,
56,GPA22GT2090-A,,
57,GPA24GT2090-A,,
58,GPA25GT2090-A,,
59,GPA26GT2090-A,,
60,GPA28GT2090-A,,
61,GPA30GT2090-A,,
62,GPA32GT2090-A,,
63,GPA34GT2090-A,,
64,GPA36GT2090-A,,
65,GPA38GT2090-A,,
66,GPA40GT2090-A,,
67,GPA44GT2090-A,,
68,GPA48GT2090-A,,
69,GPA50GT2090-A,,
70,GPA60GT2090-A,,
71,GPA22GT2040-B,,
72,GPA24GT2040-B,,
73,GPA25GT2040-B,,
74,GPA26GT2040-B,,
75,GPA28GT2040-B,,
76,GPA30GT2040-B,,
77,GPA32GT2040-B,,
78,GPA34GT2040-B,,
79,GPA36GT2040-B,,
80,GPA38GT2040-B,,
81,GPA40GT2040-B,,
82,GPA44GT2040-B,,
83,GPA48GT2040-B,,
84,GPA50GT2040-B,,
85,GPA60GT2040-B,,
86,GPA22GT2060-B,,
87,GPA24GT2060-B,,
88,GPA25GT2060-B,,
89,GPA26GT2060-B,,
90,GPA28GT2060-B,,
91,GPA30GT2060-B,,
92,GPA32GT2060-B,,
93,GPA34GT2060-B,,
94,GPA36GT2060-B,,
95,GPA38GT2060-B,,
96,GPA40GT2060-B,,
97,GPA44GT2060-B,,
98,GPA48GT2060-B,,
99,GPA50GT2060-B,,
100,GPA60GT2060-B,,
101,GPA22GT2090-B,,
102,GPA24GT2090-B,,
103,GPA25GT2090-B,,
104,GPA26GT2090-B,,
105,GPA28GT2090-B,,
106,GPA30GT2090-B,,
107,GPA32GT2090-B,,
108,GPA34GT2090-B,,
109,GPA36GT2090-B,,
110,GPA38GT2090-B,,
111,GPA40GT2090-B,,
112,GPA44GT2090-B,,
113,GPA48GT2090-B,,
114,GPA50GT2090-B,,
115,GPA60GT2090-B,,
116,GPA16GT3060-A,,
117,GPA18GT3060-A,,
118,GPA20GT3060-A,,
119,GPA16GT3090-A,,
120,GPA18GT3090-A,,
121,GPA20GT3090-A,,
122,GPA16GT3150-A,,
123,GPA18GT3150-A,,
124,GPA20GT3150-A,,
125,GPA22GT3060-A,,
126,GPA24GT3060-A,,
127,GPA25GT3060-A,,
128,GPA26GT3060-A,,
129,GPA28GT3060-A,,
130,GPA30GT3060-A,,
131,GPA32GT3060-A,,
132,GPA34GT3060-A,,
133,GPA36GT3060-A,,
134,GPA40GT3060-A,,
135,GPA44GT3060-A,,
136,GPA48GT3060-A,,
137,GPA50GT3060-A,,
138,GPA60GT3060-A,,
139,GPA22GT3090-A,,
140,GPA24GT3090-A,,
141,GPA25GT3090-A,,
142,GPA26GT3090-A,,
143,GPA28GT3090-A,,
144,GPA30GT3090-A,,
145,GPA32GT3090-A,,
146,GPA34GT3090-A,,
147,GPA36GT3090-A,,
148,GPA40GT3090-A,,
149,GPA44GT3090-A,,
150,GPA48GT3090-A,,
151,GPA50GT3090-A,,
152,GPA60GT3090-A,,
153,GPA22GT3150-A,,
154,GPA24GT3150-A,,
155,GPA25GT3150-A,,
156,GPA26GT3150-A,,
157,GPA28GT3150-A,,
158,GPA30GT3150-A,,
159,GPA32GT3150-A,,
160,GPA34GT3150-A,,
161,GPA36GT3150-A,,
162,GPA40GT3150-A,,
163,GPA44GT3150-A,,
164,GPA48GT3150-A,,
165,GPA50GT3150-A,,
166,GPA60GT3150-A,,
167,GPA22GT3060-B,,
168,GPA24GT3060-B,,
169,GPA25GT3060-B,,
170,GPA26GT3060-B,,
171,GPA28GT3060-B,,
172,GPA30GT3060-B,,
173,GPA32GT3060-B,,
174,GPA34GT3060-B,,
175,GPA36GT3060-B,,
176,GPA40GT3060-B,,
177,GPA44GT3060-B,,
178,GPA48GT3060-B,,
179,GPA50GT3060-B,,
180,GPA60GT3060-B,,
181,GPA22GT3090-B,,
182,GPA24GT3090-B,,
183,GPA25GT3090-B,,
184,GPA26GT3090-B,,
185,GPA28GT3090-B,,
186,GPA30GT3090-B,,
187,GPA32GT3090-B,,
188,GPA34GT3090-B,,
189,GPA36GT3090-B,,
190,GPA40GT3090-B,,
191,GPA44GT3090-B,,
192,GPA48GT3090-B,,
193,GPA50GT3090-B,,
194,GPA60GT3090-B,,
195,GPA22GT3150-B,,
196,GPA24GT3150-B,,
197,GPA25GT3150-B,,
198,GPA26GT3150-B,,
199,GPA28GT3150-B,,
200,GPA30GT3150-B,,
201,GPA32GT3150-B,,
202,GPA34GT3150-B,,
203,GPA36GT3150-B,,
204,GPA40GT3150-B,,
205,GPA44GT3150-B,,
206,GPA48GT3150-B,,
207,GPA50GT3150-B,,
208,GPA60GT3150-B,,
209,GPT16GT3060-A,,
210,GPT18GT3060-A,,
211,GPT20GT3060-A,,
212,GPT16GT3090-A,,
213,GPT18GT3090-A,,
214,GPT20GT3090-A,,
215,GPT16GT3150-A,,
216,GPT18GT3150-A,,
217,GPT20GT3150-A,,
218,GPT22GT3060-A,,
219,GPT24GT3060-A,,
220,GPT25GT3060-A,,
221,GPT26GT3060-A,,
222,GPT28GT3060-A,,
223,GPT30GT3060-A,,
224,GPT32GT3060-A,,
225,GPT34GT3060-A,,
226,GPT36GT3060-A,,
227,GPT40GT3060-A,,
228,GPT44GT3060-A,,
229,GPT48GT3060-A,,
230,GPT50GT3060-A,,
231,GPT60GT3060-A,,
232,GPT22GT3090-A,,
233,GPT24GT3090-A,,
234,GPT25GT3090-A,,
235,GPT26GT3090-A,,
236,GPT28GT3090-A,,
237,GPT30GT3090-A,,
238,GPT32GT3090-A,,
239,GPT34GT3090-A,,
240,GPT36GT3090-A,,
241,GPT40GT3090-A,,
242,GPT44GT3090-A,,
243,GPT48GT3090-A,,
244,GPT50GT3090-A,,
245,GPT60GT3090-A,,
246,GPT22GT3150-A,,
247,GPT24GT3150-A,,
248,GPT25GT3150-A,,
249,GPT26GT3150-A,,
250,GPT28GT3150-A,,
251,GPT30GT3150-A,,
252,GPT32GT3150-A,,
253,GPT34GT3150-A,,
254,GPT36GT3150-A,,
255,GPT40GT3150-A,,
256,GPT44GT3150-A,,
257,GPT48GT3150-A,,
258,GPT50GT3150-A,,
259,GPT60GT3150-A,,
260,GPT22GT3060-B,,
261,GPT24GT3060-B,,
262,GPT25GT3060-B,,
263,GPT26GT3060-B,,
264,GPT28GT3060-B,,
265,GPT30GT3060-B,,
266,GPT32GT3060-B,,
267,GPT34GT3060-B,,
268,GPT36GT3060-B,,
269,GPT40GT3060-B,,
270,GPT44GT3060-B,,
271,GPT48GT3060-B,,
272,GPT50GT3060-B,,
273,GPT60GT3060-B,,
274,GPT22GT3090-B,,
275,GPT24GT3090-B,,
276,GPT25GT3090-B,,
277,GPT26GT3090-B,,
278,GPT28GT3090-B,,
279,GPT30GT3090-B,,
280,GPT32GT3090-B,,
281,GPT34GT3090-B,,
282,GPT36GT3090-B,,
283,GPT40GT3090-B,,
284,GPT44GT3090-B,,
285,GPT48GT3090-B,,
286,GPT50GT3090-B,,
287,GPT60GT3090-B,,
288,GPT22GT3150-B,,
289,GPT24GT3150-B,,
290,GPT25GT3150-B,,
291,GPT26GT3150-B,,
292,GPT28GT3150-B,,
293,GPT30GT3150-B,,
294,GPT32GT3150-B,,
295,GPT34GT3150-B,,
296,GPT36GT3150-B,,
297,GPT40GT3150-B,,
298,GPT44GT3150-B,,
299,GPT48GT3150-B,,
300,GPT50GT3150-B,,
301,GPT60GT3150-B,,
302,GPM16GT3060-A,,
303,GPM18GT3060-A,,
304,GPM20GT3060-A,,
305,GPM16GT3090-A,,
306,GPM18GT3090-A,,
307,GPM20GT3090-A,,
308,GPM16GT3150-A,,
309,GPM18GT3150-A,,
310,GPM20GT3150-A,,
311,GPM22GT3060-A,,
312,GPM24GT3060-A,,
313,GPM25GT3060-A,,
314,GPM26GT3060-A,,
315,GPM28GT3060-A,,
316,GPM30GT3060-A,,
317,GPM32GT3060-A,,
318,GPM34GT3060-A,,
319,GPM36GT3060-A,,
320,GPM40GT3060-A,,
321,GPM44GT3060-A,,
322,GPM48GT3060-A,,
323,GPM50GT3060-A,,
324,GPM60GT3060-A,,
325,GPM22GT3090-A,,
326,GPM24GT3090-A,,
327,GPM25GT3090-A,,
328,GPM26GT3090-A,,
329,GPM28GT3090-A,,
330,GPM30GT3090-A,,
331,GPM32GT3090-A,,
332,GPM34GT3090-A,,
333,GPM36GT3090-A,,
334,GPM40GT3090-A,,
335,GPM44GT3090-A,,
336,GPM48GT3090-A,,
337,GPM50GT3090-A,,
338,GPM60GT3090-A,,
339,GPM22GT3150-A,,
340,GPM24GT3150-A,,
341,GPM25GT3150-A,,
342,GPM26GT3150-A,,
343,GPM28GT3150-A,,
344,GPM30GT3150-A,,
345,GPM32GT3150-A,,
346,GPM34GT3150-A,,
347,GPM36GT3150-A,,
348,GPM40GT3150-A,,
349,GPM44GT3150-A,,
350,GPM48GT3150-A,,
351,GPM50GT3150-A,,
352,GPM60GT3150-A,,
353,GPM22GT3060-B,,
354,GPM24GT3060-B,,
355,GPM25GT3060-B,,
356,GPM26GT3060-B,,
357,GPM28GT3060-B,,
358,GPM30GT3060-B,,
359,GPM32GT3060-B,,
360,GPM34GT3060-B,,
361,GPM36GT3060-B,,
362,GPM40GT3060-B,,
363,GPM44GT3060-B,,
364,GPM48GT3060-B,,
365,GPM50GT3060-B,,
366,GPM60GT3060-B,,
367,GPM22GT3090-B,,
368,GPM24GT3090-B,,
369,GPM25GT3090-B,,
370,GPM26GT3090-B,,
371,GPM28GT3090-B,,
372,GPM30GT3090-B,,
373,GPM32GT3090-B,,
374,GPM34GT3090-B,,
375,GPM36GT3090-B,,
376,GPM40GT3090-B,,
377,GPM44GT3090-B,,
378,GPM48GT3090-B,,
379,GPM50GT3090-B,,
380,GPM60GT3090-B,,
381,GPM22GT3150-B,,
382,GPM24GT3150-B,,
383,GPM25GT3150-B,,
384,GPM26GT3150-B,,
385,GPM28GT3150-B,,
386,GPM30GT3150-B,,
387,GPM32GT3150-B,,
388,GPM34GT3150-B,,
389,GPM36GT3150-B,,
390,GPM40GT3150-B,,
391,GPM44GT3150-B,,
392,GPM48GT3150-B,,
393,GPM50GT3150-B,,
394,GPM60GT3150-B,,
395,GPA14GT5090-A,,
396,GPA15GT5090-A,,
397,GPA16GT5090-A,,
398,GPA18GT5090-A,,
399,GPA20GT5090-A,,
400,GPA22GT5090-A,,
401,GPA24GT5090-A,,
402,GPA25GT5090-A,,
403,GPA26GT5090-A,,
404,GPA28GT5090-A,,
405,GPA30GT5090-A,,
406,GPA32GT5090-A,,
407,GPA34GT5090-A,,
408,GPA36GT5090-A,,
409,GPA40GT5090-A,,
410,GPA44GT5090-A,,
411,GPA48GT5090-A,,
412,GPA50GT5090-A,,
413,GPA60GT5090-A,,
414,GPA14GT5120-A,,
415,GPA15GT5120-A,,
416,GPA16GT5120-A,,
417,GPA18GT5120-A,,
418,GPA20GT5120-A,,
419,GPA22GT5120-A,,
420,GPA24GT5120-A,,
421,GPA25GT5120-A,,
422,GPA26GT5120-A,,
423,GPA28GT5120-A,,
424,GPA30GT5120-A,,
425,GPA32GT5120-A,,
426,GPA34GT5120-A,,
427,GPA36GT5120-A,,
428,GPA40GT5120-A,,
429,GPA44GT5120-A,,
430,GPA48GT5120-A,,
431,GPA50GT5120-A,,
432,GPA60GT5120-A,,
433,GPA14GT5150-A,,
434,GPA15GT5150-A,,
435,GPA16GT5150-A,,
436,GPA18GT5150-A,,
437,GPA20GT5150-A,,
438,GPA22GT5150-A,,
439,GPA24GT5150-A,,
440,GPA25GT5150-A,,
441,GPA26GT5150-A,,
442,GPA28GT5150-A,,
443,GPA30GT5150-A,,
444,GPA32GT5150-A,,
445,GPA34GT5150-A,,
446,GPA36GT5150-A,,
447,GPA40GT5150-A,,
448,GPA44GT5150-A,,
449,GPA48GT5150-A,,
450,GPA50GT5150-A,,
451,GPA60GT5150-A,,
452,GPA14GT5090-B,,
453,GPA15GT5090-B,,
454,GPA16GT5090-B,,
455,GPA18GT5090-B,,
456,GPA20GT5090-B,,
457,GPA22GT5090-B,,
458,GPA24GT5090-B,,
459,GPA25GT5090-B,,
460,GPA26GT5090-B,,
461,GPA28GT5090-B,,
462,GPA30GT5090-B,,
463,GPA32GT5090-B,,
464,GPA34GT5090-B,,
465,GPA36GT5090-B,,
466,GPA40GT5090-B,,
467,GPA44GT5090-B,,
468,GPA48GT5090-B,,
469,GPA50GT5090-B,,
470,GPA60GT5090-B,,
471,GPA14GT5120-B,,
472,GPA15GT5120-B,,
473,GPA16GT5120-B,,
474,GPA18GT5120-B,,
475,GPA20GT5120-B,,
476,GPA22GT5120-B,,
477,GPA24GT5120-B,,
478,GPA25GT5120-B,,
479,GPA26GT5120-B,,
480,GPA28GT5120-B,,
481,GPA30GT5120-B,,
482,GPA32GT5120-B,,
483,GPA34GT5120-B,,
484,GPA36GT5120-B,,
485,GPA40GT5120-B,,
486,GPA44GT5120-B,,
487,GPA48GT5120-B,,
488,GPA50GT5120-B,,
489,GPA60GT5120-B,,
490,GPA14GT5150-B,,
491,GPA15GT5150-B,,
492,GPA16GT5150-B,,
493,GPA18GT5150-B,,
494,GPA20GT5150-B,,
495,GPA22GT5150-B,,
496,GPA24GT5150-B,,
497,GPA25GT5150-B,,
498,GPA26GT5150-B,,
499,GPA28GT5150-B,,
500,GPA30GT5150-B,,
501,GPA32GT5150-B,,
502,GPA34GT5150-B,,
503,GPA36GT5150-B,,
504,GPA40GT5150-B,,
505,GPA44GT5150-B,,
506,GPA48GT5150-B,,
507,GPA50GT5150-B,,
508,GPA60GT5150-B,,
509,GPT14GT5090-A,,
510,GPT15GT5090-A,,
511,GPT16GT5090-A,,
512,GPT18GT5090-A,,
513,GPT20GT5090-A,,
514,GPT22GT5090-A,,
515,GPT24GT5090-A,,
516,GPT25GT5090-A,,
517,GPT26GT5090-A,,
518,GPT28GT5090-A,,
519,GPT30GT5090-A,,
520,GPT32GT5090-A,,
521,GPT34GT5090-A,,
522,GPT36GT5090-A,,
